1, free, en, 1, false
2, fri, no, 1, true
3, fri, sv, 1, true
4, fri, da, 1, true
5, vrij, nl, 1, false
6, frei, de, 1, false
7, frjáls, is, 2, false
8, frälse, sv, 2, false, frälsa, sv, 2, false
9, frälse, sv, 2, false, frälsa, sv, 2, false
10, freehood, en, 3, false
11, vrijheid, nl, 3, false
12, Freiheit, de, 3, false
13, freedom, en, 4, false
14, fridom, no, 4, true
15, vrijdom, nl, 4, false
16, Freitum, de, 4, false
17, frétt, is, 5, false
18, Friedel, de, 6, false
19, friðill, is, 6, false
20, frilla, is, 6, false
21, frilla, sv, 6, false
22, frille, da, 6, false
23, frid, sv, 8, false
24, freeze, en, 9, false
25, vriezen, nl, 9, false
26, frieren, de, 9, false
27, frjósa, is, 9, false
28, -, no, 9, false
29, frysa, sv, 9, false
30, fryse, da, 9, false
31, frist, da, 10, false
32, frest, is, 10, false
33, frist, no, 10, false
34, frist, sv, 10, false
